y,cost
-926.8645392225562,497.62942946394566
-818.4442037981468,435.90590442214625
-502.84431344145503,892.0730209943109
-585.7715785677328,227.40397524320736
-1053.6564291277293,473.66240463929677
-1401.6822579794953,-11.076214884980914
-681.5696460171504,529.5394871963244
-1010.2259776240096,383.6067676252437
-800.5858344178154,821.9263993248625
-868.8802972482894,824.7146271862347
-885.4555665165487,717.5700808370331
-998.3036628691881,725.3089689142445
-1074.1536732938926,902.879848287941
-405.47943058215793,910.9675758596914
-748.6606572841259,520.4007569314917
-690.2595583786853,591.3055226076445
-730.4811437985595,743.7174322699102
-740.4107811624692,264.53330327201377
-622.8940297026828,1052.084185310503
-560.7132034115973,968.3650184038264
