x1,x2
209.98293450545032,-394.0944839390752
-435.2392849946941,438.88593153474835
-195.3722956731866,8.989841784297596
462.6535584475496,-559.1967166131692
111.3848222143464,-410.80693708266915
-522.1489800747885,362.45179667323396
-283.5749798871332,127.5907627968835
3.79650604992662,-541.848729822123
-136.04642757215817,-418.3452698066957
99.1938292133292,182.92022150299147
-5.322179233038241,-556.3373365923466
576.3268797272524,529.0785220717444
-95.33683576026448,98.09007410233096
-466.67874877659847,191.13699710546484
-24.657863840474192,-58.32161771542121
437.39110074672953,-541.1524315635733
393.7936301045536,-88.42741865146394
264.5178295421547,308.53894197281693
-46.31433725935722,230.5875400872469
-206.73389127530248,363.331220735711
