y,cost
-54.11528353995618,147.19351434217904
-7.362976086882723,94.55519853388739
-2.4203867789382016,105.1423346898312
-6.468287880553256,46.51007072863616
-3.3582617240700268,48.58082161849099
-7.684315793762305,136.92719716199986
-10.908050871027951,56.670624433495234
-11.005218337895142,106.450171596101
-4.937651769381607,102.53559294366727
-8.167052796927967,69.6494388196405
-10.816531179087471,63.89507471661624
-37.40918257326231,36.289316287961285
-51.32881253348768,147.47486943867312
-4.176007992272952,53.55871936462337
-12.07319576937012,45.27237966198574
-31.997042948336766,142.4645065921314
-14.315375690883549,114.9801209219865
-21.07100509238458,124.93620260227505
-1.2625660256269602,85.63246361941461
-10.459283674106565,53.6671290484407
