y,cost
-44.83389084199736,307.7712003734244
-97.8979752994816,198.1768986039872
-47.01269922735713,196.19275407268773
-21.273956330583037,157.9590011334233
-95.6700724908692,152.39879573126797
-77.8822860365372,136.01889583136807
-34.46399346692669,219.66093787341012
-82.67977388625263,230.63895589142814
-77.3602517018307,133.2308277633
-60.201310757434754,136.19315008562234
-80.13412847049376,138.4584553909276
-67.00257035183813,145.0801170525893
-44.83389084199736,307.7712003734244
-97.8979752994816,198.1768986039872
-47.01269922735713,196.19275407268773
-21.273956330583037,157.9590011334233
-95.6700724908692,152.39879573126797
-77.8822860365372,136.01889583136807
-34.46399346692669,219.66093787341012
-82.67977388625263,230.63895589142814
-77.3602517018307,133.2308277633
-60.201310757434754,136.19315008562234
-80.13412847049376,138.4584553909276
-67.00257035183813,145.0801170525893
