x1,x2,x3
0.7594772834301189,0.5672571143047803,0.4402440606969925
0.30495856231385443,0.8737691457780731,0.7461959817775699
0.8228758419186134,0.4438787958475422,0.1582832745918591
0.6322933124184855,0.5192326738219657,0.5696512174453078
0.5207792231285698,0.8798359446745592,0.3556678278189671
0.062363272181012674,0.11530855270341589,0.8072335176675751
0.762734085952645,0.9360084027567641,0.25906459589237707
0.0514291920746659,0.11360730347940984,0.5960982374149423
0.011301751347042366,0.6393858185467286,0.5788525352795801
0.2837049299093142,0.8501197937837051,0.6128444665242526
0.7937571763331173,0.9459641190439815,0.6457193350359222
0.0698801739482855,0.05473525796669043,0.4907891338764674
0.87833976465259,0.2809979865111891,0.4571410443746404
0.4596800522198671,0.4706207147303243,0.4600872054140067
0.4973532524454505,0.052098695728372224,0.5892400861194296
0.3202280735053772,0.23943705176500285,0.8227431340772579
0.6530024251450157,0.2059975474116562,0.0856966072777462
0.6154468051501665,0.6231401928724448,0.18656787613836323
0.176218750790072,0.8721156860627715,0.288107156269661
0.8104281665758315,0.8987589723669083,0.7044196953288816
0.3342691317778336,0.47718651649794797,0.8446679709116148
0.025058335961124723,0.7798258664773617,0.731335495631075
0.42033749299540535,0.6403591025678769,0.5908962404534249
0.5598805456045028,0.1551902318783287,0.8574069011455437
0.8430246429307936,0.08922020663755192,0.47079585096832466
0.4429568372798326,0.34692816662886194,0.990174852799232
0.1443823361480291,0.0931857080370595,0.7739771217068504
0.3337853760845809,0.8866009045909743,0.24992313640690422
0.6124900779814955,0.4619446925155286,0.7095637817642596
0.862028691135161,0.27748605350970135,0.8201605021928161
